Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
  ║ E         + indeterminate
  ║ 
  ║ tests/hermes_cli/test_resolve_install_target_fallback.py:92: AssertionError
  ║ =========================== short test summary info ============================
  ║ FAILED tests/hermes_cli/test_resolve_install_target_fallback.py::test_resolve_falls_back_to_sys_executable_when_uv_venv_missing
  ║ FAILED tests/hermes_cli/test_resolve_install_target_fallback.py::test_detect_broken_imports_runs_when_uv_venv_missing
  ║ FAILED tests/hermes_cli/test_resolve_install_target_fallback.py::test_repair_not_indeterminate_when_uv_venv_missing
  ║ 3 failed, 1 passed in 0.73s
  ║
  ║  Repro: python -m pytest tests/hermes_cli/test_resolve_install_target_fallback.py -q --timeout=60 --timeout-method=signal -p no:cacheprovider
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 50.7% | 21447/~42342 | ✓23993 | ✗  224] ✓ tests/hermes_cli/test_r2_corrections.py (29✓ 20s, 7.9s)
[ 50.7% | 21448/~42342 | ✓23994 | ✗  224] ✓ tests/hermes_cli/test_resolve_provider_openrouter_pool.py (1✓, 1.7s)
[ 50.7% | 21456/~42342 | ✓24002 | ✗  224] ✓ tests/hermes_cli/test_resolve_provider_corrupt_config.py (8✓, 2.0s)
[ 50.7% | 21458/~42342 | ✓24004 | ✗  224] ✓ tests/hermes_cli/test_resolve_last_session.py (2✓, 2.7s)
[ 50.7% | 21474/~42342 | ✓24020 | ✗  224] ✓ tests/hermes_cli/test_quarantine_orphan_rescue.py (16✓, 9.7s)
[ 50.7% | 21476/~42342 | ✓24022 | ✗  224] ✓ tests/hermes_cli/test_provider_parity.py (2✓, 15.2s)
[ 50.7% | 21479/~42342 | ✓24025 | ✗  224] ✓ tests/hermes_cli/test_resolve_token_memo.py (3✓, 1.8s)
[ 50.8% | 21496/~42342 | ✓24042 | ✗  224] ✓ tests/hermes_cli/test_restart_plan_reconciliation.py (17✓, 2.1s)
[ 50.9% | 21548/~42342 | ✓24150 | ✗  224] ✓ tests/hermes_cli/test_relay_shared_metrics.py (108✓, 7.9s)
[ 50.9% | 21552/~42342 | ✓24154 | ✗  224] ✓ tests/hermes_cli/test_restore_own_holder_guard.py (4✓, 2.4s)
[ 51.0% | 21589/~42342 | ✓24204 | ✗  224] ✓ tests/hermes_cli/test_resolve_turn_limit.py (50✓, 3.6s)
[ 51.0% | 21591/~42342 | ✓24206 | ✗  224] ✓ tests/hermes_cli/test_run_with_idle_timeout.py (2✓, 1.8s)
[ 51.1% | 21621/~42342 | ✓24236 | ✗  224] ✓ tests/hermes_cli/test_routing.py (30✓, 2.7s)
[ 51.1% | 21632/~42342 | ✓24261 | ✗  224] ✓ tests/hermes_cli/test_router_provider.py (25✓, 3.0s)
[ 51.1% | 21635/~42342 | ✓24264 | ✗  224] ✓ tests/hermes_cli/test_runtime_machine_scope.py (3✓, 1.8s)
[ 51.1% | 21640/~42342 | ✓24269 | ✗  224] ✓ tests/hermes_cli/test_runtime_install_progress.py (5✓, 2.1s)
[ 51.1% | 21652/~42342 | ✓24281 | ✗  224] ✓ tests/hermes_cli/test_resume_latest_and_in_dir.py (12✓, 3.6s)
[ 51.1% | 21654/~42342 | ✓24283 | ✗  224] ✓ tests/hermes_cli/test_runtime_provider_late_binding.py (2✓, 1.9s)
[ 51.2% | 21694/~42342 | ✓24328 | ✗  224] ✓ tests/hermes_cli/test_relay_shared_metrics_runtime.py (45✓, 10.1s)
[ 51.2% | 21696/~42342 | ✓24330 | ✗  224] ✓ tests/hermes_cli/test_safe_mode.py (2✓, 1.8s)
[ 51.3% | 21703/~42342 | ✓24337 | ✗  224] ✓ tests/hermes_cli/test_sale_pricing.py (7✓, 2.0s)
[ 51.3% | 21706/~42342 | ✓24340 | ✗  224] ✓ tests/hermes_cli/test_secret_prompt.py (3✓, 1.8s)
[ 51.3% | 21714/~42342 | ✓24350 | ✗  224] ✓ tests/hermes_cli/test_runtime_transport_precedence.py (10✓, 2.7s)
[ 51.3% | 21716/~42342 | ✓24352 | ✗  224] ✓ tests/hermes_cli/test_secrets_bitwarden_non_tty.py (2✓, 1.8s)
[ 51.3% | 21742/~42342 | ✓24390 | ✗  224] ✓ tests/hermes_cli/test_scan_venv_blockers.py (38✓, 2.7s)
[ 51.4% | 21750/~42342 | ✓24398 | ✗  224] ✓ tests/hermes_cli/test_secret_source_bootstrap.py (8✓, 2.4s)
[ 51.4% | 21752/~42342 | ✓24400 | ✗  224] ✓ tests/hermes_cli/test_secrets_token_rotation.py (2✓, 1.9s)
[ 51.4% | 21762/~42342 | ✓24410 | ✗  224] ✓ tests/hermes_cli/test_security_advisories.py (10✓, 2.0s)
[ 51.4% | 21776/~42342 | ✓24424 | ✗  224] ✓ tests/hermes_cli/test_security_audit.py (14✓, 2.0s)
[ 51.4% | 21779/~42342 | ✓24427 | ✗  224] ✓ tests/hermes_cli/test_security_audit_startup.py (3✓, 1.9s)
[ 51.6% | 21842/~42342 | ✓24491 | ✗  225] ✗ tests/hermes_cli/test_runtime_provider_resolution.py (64✓ 1✗, 5.1s)

  ╔╍ Failed: tests/hermes_cli/test_runtime_provider_resolution.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ .......F.........................................................        [100%]
  ║ =================================== FAILURES ===================================
  ║ _______________ test_qwen_oauth_auto_fallthrough_on_auth_failure _______________
  ║ 
  ║ monkeypatch = <_pytest.monkeypatch.MonkeyPatch object at 0x7c76adc84a90>
  ║ 
  ║     def test_qwen_oauth_auto_fallthrough_on_auth_failure(monkeypatch):
  ║         """When requested_provider is 'auto' and Qwen creds fail, fall through."""
  ║         from hermes_cli.auth import AuthError
  ║     
  ║         monkeypatch.setattr(rp, "resolve_provider", lambda *a, **k: "qwen-oauth")
  ║         monkeypatch.setattr(
  ║             rp,
  ║             "resolve_qwen_runtime_credentials",
  ║             lambda **kw: (_ for _ in ()).throw(AuthError("stale", provider="qwen-oauth", code="qwen_auth_missing")),
  ║         )
  ║         monkeypatch.setattr(rp, "_get_model_config", lambda: {})
  ║         monkeypatch.setenv("OPENROUTER_API_KEY", "test-or-key")
  ║     
  ║         # Should NOT raise — falls through to OpenRouter
  ║         resolved = rp.resolve_runtime_provider(requested="auto")
  ║         # The fallthrough means it won't be qwen-oauth
  ║ >       assert resolved["provider"] != "qwen-oauth"
  ║ E       AssertionError: assert 'qwen-oauth' != 'qwen-oauth'
  ║ 
  ║ tests/hermes_cli/test_runtime_provider_resolution.py:174: AssertionError
  ║ =========================== short test summary info ============================
  ║ FAILED tests/hermes_cli/test_runtime_provider_resolution.py::test_qwen_oauth_auto_fallthrough_on_auth_failure
  ║ 1 failed, 64 passed in 3.70s
  ║
  ║  Repro: python -m pytest tests/hermes_cli/test_runtime_provider_resolution.py -q --timeout=60 --timeout-method=signal -p no:cacheprovider
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 51.6% | 21844/~42342 | ✓24493 | ✗  225] ✓ tests/hermes_cli/test_serve_command.py (2✓, 1.8s)
[ 51.6% | 21855/~42342 | ✓24504 | ✗  225] ✓ tests/hermes_cli/test_send_cmd.py (11✓, 2.0s)
[ 51.6% | 21868/~42342 | ✓24517 | ✗  225] ✓ tests/hermes_cli/test_seeded_interactive_query.py (13✓, 2.4s)
[ 51.7% | 21873/~42342 | ✓24522 | ✗  225] ✓ tests/hermes_cli/test_serve_parent_watchdog.py (5✓, 1.8s)
[ 51.7% | 21875/~42342 | ✓24524 | ✗  225] ✓ tests/hermes_cli/test_serve_mcp_discovery_after_bind.py (2✓, 3.2s)
[ 51.7% | 21884/~42342 | ✓24533 | ✗  225] ✓ tests/hermes_cli/test_service_manager.py (9✓, 2.4s)
[ 51.7% | 21896/~42342 | ✓24545 | ✗  225] ✓ tests/hermes_cli/test_serve_runtime_inventory.py (12✓, 2.6s)
[ 51.7% | 21904/~42342 | ✓24553 | ✗  225] ✓ tests/hermes_cli/test_session_browse.py (8✓, 2.1s)
[ 51.7% | 21908/~42342 | ✓24557 | ✗  225] ✓ tests/hermes_cli/test_session_export_html.py (4✓, 2.0s)
[ 51.7% | 21911/~42342 | ✓24560 | ✗  225] ✓ tests/hermes_cli/test_session_export.py (3✓, 2.2s)
[ 51.8% | 21914/~42342 | ✓24563 | ✗  225] ✓ tests/hermes_cli/test_session_export_html_escape.py (3✓, 1.9s)
[ 51.8% | 21916/~42342 | ✓24565 | ✗  225] ✓ tests/hermes_cli/test_session_export_md.py (2✓, 1.7s)
[ 51.8% | 21921/~42342 | ✓24577 | ✗  225] ✓ tests/hermes_cli/test_session_filters.py (12✓, 2.0s)
[ 51.8% | 21923/~42342 | ✓24579 | ✗  225] ✓ tests/hermes_cli/test_session_recap.py (2✓, 1.8s)
[ 51.8% | 21925/~42342 | ✓24581 | ✗  225] ✓ tests/hermes_cli/test_session_list_reader_disposable.py (2✓, 3.1s)
[ 51.8% | 21931/~42342 | ✓24587 | ✗  225] ✓ tests/hermes_cli/test_session_handoff.py (6✓, 3.5s)
[ 51.8% | 21943/~42342 | ✓24599 | ✗  225] ✓ tests/hermes_cli/test_session_save.py (12✓, 1.9s)
[ 51.8% | 21946/~42342 | ✓24602 | ✗  225] ✓ tests/hermes_cli/test_session_owner_backfill.py (3✓, 4.4s)
[ 51.8% | 21950/~42342 | ✓24606 | ✗  225] ✓ tests/hermes_cli/test_sessions_delete.py (4✓, 2.3s)
[ 51.8% | 21953/~42342 | ✓24609 | ✗  225] ✓ tests/hermes_cli/test_sessions_error_exit_codes.py (3✓, 3.1s)
[ 51.9% | 21962/~42342 | ✓24618 | ✗  225] ✓ tests/hermes_cli/test_serve_port_in_use.py (9✓, 9.4s)
[ 51.9% | 21964/~42342 | ✓24620 | ✗  225] ✓ tests/hermes_cli/test_sessions_export_md_cli.py (2✓, 2.2s)
[ 51.9% | 21970/~42342 | ✓24626 | ✗  225] ✓ tests/hermes_cli/test_sessions_pin.py (6✓, 2.5s)
[ 51.9% | 21973/~42342 | ✓24629 | ✗  225] ✓ tests/hermes_cli/test_sessions_size_delta_label.py (3✓, 1.8s)
[ 51.9% | 21986/~42342 | ✓24642 | ✗  225] ✓ tests/hermes_cli/test_session_listing.py (13✓, 7.5s)
[ 51.9% | 21988/~42342 | ✓24644 | ✗  225] ✓ tests/hermes_cli/test_setup_agent_settings.py (2✓, 1.7s)
[ 51.9% | 21990/~42342 | ✓24646 | ✗  225] ✓ tests/hermes_cli/test_setup_hermes_script.py (2✓, 1.8s)
[ 51.9% | 21995/~42342 | ✓24651 | ✗  225] ✓ tests/hermes_cli/test_setup.py (5✓, 3.0s)
[ 51.9% | 21996/~42342 | ✓24652 | ✗  225] ✓ tests/hermes_cli/test_setup_matrix_e2ee.py (1✓, 1.8s)
[ 52.0% | 22000/~42342 | ✓24655 | ✗  226] ✗ tests/hermes_cli/test_setup_blank_slate.py (3✓ 1✗, 3.7s)

  ╔╍ Failed: tests/hermes_cli/test_setup_blank_slate.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-browserbase' registered browser provider: browserbase
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'browser-firecrawl' registered browser provider: firecrawl
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered image_gen provider: deepinfra
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered image_gen provider: fal
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'krea' registered image_gen provider: krea
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'meta-ai-image-gen' registered image_gen provider: meta-ai
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai' registered image_gen provider: openai
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openai-codex' registered image_gen provider: openai-codex
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: openrouter
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'openrouter' registered image_gen provider: nous
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered image_gen provider: xai
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'deepinfra' registered video_gen provider: deepinfra
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'fal' registered video_gen provider: fal
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'xai' registered video_gen provider: xai
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-brave-free' registered web provider: brave-free
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-ddgs' registered web provider: ddgs
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-exa' registered web provider: exa
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-firecrawl' registered web provider: firecrawl
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-keenable' registered web provider: keenable
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-parallel' registered web provider: parallel
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-perplexity' registered web provider: perplexity
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-searxng' registered web provider: searxng
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-tavily' registered web provider: tavily
  ║ INFO     hermes_cli.plugins:plugins.py:378 Plugin 'web-xai' registered web provider: xai
  ║ INFO     hermes_cli.plugins:plugins.py:1451 Plugin discovery complete: 64 found, 51 enabled
  ║ WARNING  tools.registry:registry.py:335 check_fn check_config_set_requirements returned False; dependent tools will be unavailable this turn
  ║ INFO     tools.tool_search:tool_search.py:328 tool_search activated (tier 1): 10 core/visible tools kept, 2 deferred (~441 tokens), listing full (budget ~4000 tokens)
  ║ =========================== short test summary info ============================
  ║ FAILED tests/hermes_cli/test_setup_blank_slate.py::TestBlankSlateMinimalToolsets::test_tool_schema_survives_disabled_toolsets_from_config
  ║ 1 failed, 3 passed in 2.37s
  ║
  ║  Repro: python -m pytest tests/hermes_cli/test_setup_blank_slate.py -q --timeout=60 --timeout-method=signal -p no:cacheprovider
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 52.1% | 22052/~42342 | ✓24748 | ✗  226] ✓ tests/hermes_cli/test_set_config_value.py (93✓, 4.9s)
[ 52.1% | 22055/~42342 | ✓24751 | ✗  226] ✓ tests/hermes_cli/test_setup_model_provider.py (3✓, 2.6s)
[ 52.1% | 22063/~42342 | ✓24764 | ✗  226] ✓ tests/hermes_cli/test_setup_hidden_env.py (13✓, 4.7s)
[ 52.1% | 22069/~42342 | ✓24770 | ✗  226] ✓ tests/hermes_cli/test_setup_irc.py (6✓, 4.5s)
[ 52.1% | 22071/~42342 | ✓24772 | ✗  226] ✓ tests/hermes_cli/test_setup_noninteractive.py (2✓, 1.9s)
[ 52.1% | 22079/~42342 | ✓24780 | ✗  226] ✓ tests/hermes_cli/test_setup_prompt_menus.py (8✓, 2.0s)
[ 52.2% | 22091/~42342 | ✓24790 | ✗  226] ✓ tests/hermes_cli/test_session_recovery_lost_and_found.py (10✓ 2s, 11.7s)
[ 52.2% | 22093/~42342 | ✓24792 | ✗  226] ✓ tests/hermes_cli/test_setup_summary_provider_warning.py (2✓, 1.8s)
[ 52.2% | 22098/~42342 | ✓24797 | ✗  226] ✓ tests/hermes_cli/test_setup_reconfigure.py (5✓, 2.2s)
[ 52.2% | 22099/~42342 | ✓24798 | ✗  226] ✓ tests/hermes_cli/test_setup_tts_xai_oauth.py (1✓, 1.9s)
[ 52.2% | 22103/~42342 | ✓24802 | ✗  226] ✓ tests/hermes_cli/test_setup_telemetry.py (4✓, 2.1s)
[ 52.2% | 22112/~42342 | ✓24811 | ✗  226] ✓ tests/hermes_cli/test_setup_openclaw_migration.py (9✓, 4.0s)
[ 52.3% | 22130/~42342 | ✓24832 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_send_config.py (21✓, 2.1s)
[ 52.3% | 22138/~42342 | ✓24840 | ✗  226] ✓ tests/hermes_cli/test_session_recovery.py (8✓, 15.0s)
[ 52.3% | 22146/~42342 | ✓24848 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_send_migration.py (8✓, 2.2s)
[ 52.3% | 22165/~42342 | ✓24867 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_send_wiring.py (19✓, 3.2s)
[ 52.4% | 22169/~42342 | ✓24867 | ✗  226] ✓ tests/hermes_cli/test_shim_fail_closed_windows_live.py (4s, 1.3s)
[ 52.4% | 22178/~42342 | ✓24876 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_tools_toggle.py (9✓, 2.1s)
[ 52.4% | 22185/~42342 | ✓24883 | ✗  226] ✓ tests/hermes_cli/test_shadow_corrections.py (7✓, 5.1s)
[ 52.4% | 22198/~42342 | ✓24896 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_consent_windows.py (13✓, 4.6s)
[ 52.4% | 22208/~42342 | ✓24906 | ✗  226] ✓ tests/hermes_cli/test_shadow_classifier.py (10✓, 5.6s)
[ 52.5% | 22214/~42342 | ✓24912 | ✗  226] ✓ tests/hermes_cli/test_sibling_config_migration.py (6✓, 2.0s)
[ 52.5% | 22216/~42342 | ✓24914 | ✗  226] ✓ tests/hermes_cli/test_signal_handler_kanban_worker.py (2✓, 2.4s)
[ 52.5% | 22220/~42342 | ✓24928 | ✗  226] ✓ tests/hermes_cli/test_sizefmt.py (14✓, 2.0s)
[ 52.5% | 22227/~42342 | ✓24935 | ✗  226] ✓ tests/hermes_cli/test_skill_evidence.py (7✓, 2.2s)
[ 52.5% | 22238/~42342 | ✓24946 | ✗  226] ✓ tests/hermes_cli/test_skills_config.py (11✓, 2.1s)
[ 52.5% | 22246/~42342 | ✓24954 | ✗  226] ✓ tests/hermes_cli/test_skills_hub.py (8✓, 2.3s)
[ 52.5% | 22248/~42342 | ✓24956 | ✗  226] ✓ tests/hermes_cli/test_skills_install_flags.py (2✓, 2.1s)
[ 52.5% | 22249/~42342 | ✓24957 | ✗  226] ✓ tests/hermes_cli/test_skills_subparser.py (1✓, 1.7s)
[ 52.6% | 22254/~42342 | ✓24962 | ✗  226] ✓ tests/hermes_cli/test_skills_skip_confirm.py (5✓, 2.0s)
[ 52.6% | 22259/~42342 | ✓24967 | ✗  226] ✓ tests/hermes_cli/test_skin_cmd.py (5✓, 2.0s)
[ 52.6% | 22262/~42342 | ✓24970 | ✗  226] ✓ tests/hermes_cli/test_skills_uninstall_flags.py (3✓, 2.2s)
[ 52.6% | 22275/~42342 | ✓24983 | ✗  226] ✓ tests/hermes_cli/test_skin_engine.py (13✓, 2.0s)
[ 52.6% | 22278/~42342 | ✓25002 | ✗  226] ✓ tests/hermes_cli/test_skin_palettes.py (19✓, 2.1s)
[ 52.6% | 22281/~42342 | ✓25005 | ✗  226] ✓ tests/hermes_cli/test_spotify_auth.py (3✓, 1.8s)
[ 52.7% | 22332/~42342 | ✓25067 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_sender.py (62✓, 10.4s)
[ 52.8% | 22339/~42342 | ✓25074 | ✗  226] ✓ tests/hermes_cli/test_spawn_gateway_restart_cooldown.py (7✓, 3.0s)
[ 52.8% | 22341/~42342 | ✓25076 | ✗  226] ✓ tests/hermes_cli/test_spawn_gateway_restart_reap.py (2✓, 2.9s)
[ 52.8% | 22354/~42342 | ✓25089 | ✗  226] ✓ tests/hermes_cli/test_shared_metrics_sender_e2e.py (13✓, 9.6s)
[ 52.8% | 22361/~42342 | ✓25096 | ✗  226] ✓ tests/hermes_cli/test_slack_cli.py (7✓, 3.7s)
[ 52.8% | 22364/~42342 | ✓25108 | ✗  226] ✓ tests/hermes_cli/test_sqlite_runtime.py (12✓, 2.0s)
[ 52.9% | 22380/~42342 | ✓25124 | ✗  226] ✓ tests/hermes_cli/test_sse_done.py (16✓, 2.1s)
[ 52.9% | 22387/~42342 | ✓25131 | ✗  226] ✓ tests/hermes_cli/test_ssh_session_token_parser.py (7✓, 1.9s)
[ 52.9% | 22406/~42342 | ✓25163 | ✗  226] ✓ tests/hermes_cli/test_sqlite3_cli_salvage_gate.py (32✓, 4.4s)
[ 53.0% | 22423/~42342 | ✓25179 | ✗  226] ✓ tests/hermes_cli/test_stale_pid_guard.py (16✓ 1s, 2.3s)
[ 53.0% | 22427/~42342 | ✓25183 | ✗  226] ✓ tests/hermes_cli/test_startup_plugin_gating.py (4✓, 2.0s)
[ 53.0% | 22433/~42342 | ✓25189 | ✗  226] ✓ tests/hermes_cli/test_ssh_ownership_endpoint.py (6✓, 3.1s)
[ 53.0% | 22443/~42342 | ✓25199 | ✗  226] ✓ tests/hermes_cli/test_startup_model_routing_87189.py (10✓, 2.7s)
[ 53.0% | 22447/~42342 | ✓25203 | ✗  226] ✓ tests/hermes_cli/test_state_db_guard.py (4✓, 2.1s)
[ 53.0% | 22450/~42342 | ✓25206 | ✗  226] ✓ tests/hermes_cli/test_status_provider_label.py (3✓, 1.9s)
[ 53.0% | 22458/~42342 | ✓25214 | ✗  226] ✓ tests/hermes_cli/test_stderr_timestamp.py (8✓, 2.1s)
[ 53.0% | 22460/~42342 | ✓25216 | ✗  226] ✓ tests/hermes_cli/test_subcommands_batch.py (2✓, 1.7s)
[ 53.1% | 22471/~42342 | ✓25227 | ✗  226] ✓ tests/hermes_cli/test_stt_picker.py (11✓, 2.4s)
[ 53.1% | 22477/~42342 | ✓25245 | ✗  226] ✓ tests/hermes_cli/test_subcommands_final_batch.py (18✓, 2.2s)
[ 53.1% | 22479/~42342 | ✓25255 | ✗  226] ✓ tests/hermes_cli/test_subcommands_followup.py (10✓, 1.9s)
[ 53.1% | 22479/~42342 | ✓25255 | ✗  226] ✓ tests/hermes_cli/test_subparser_routing_fallback.py (1.3s)
[ 53.1% | 22481/~42342 | ✓25257 | ✗  226] ✓ tests/hermes_cli/test_subcommands_profile_gateway.py (2✓, 1.7s)
[ 53.1% | 22482/~42342 | ✓25261 | ✗  226] ✓ tests/hermes_cli/test_subprocess_timeouts.py (4✓, 1.8s)
[ 53.1% | 22485/~42342 | ✓25264 | ✗  226] ✓ tests/hermes_cli/test_subscription_cli.py (3✓, 2.1s)
[ 53.1% | 22487/~42342 | ✓25266 | ✗  226] ✓ tests/hermes_cli/test_system_stats_platform.py (2✓, 1.7s)
[ 53.1% | 22494/~42342 | ✓25273 | ✗  226] ✓ tests/hermes_cli/test_suppress_eio_on_interrupt.py (7✓, 1.9s)
[ 53.1% | 22499/~42342 | ✓25278 | ✗  226] ✓ tests/hermes_cli/test_systemd_optional_directives.py (5✓, 1.9s)
[ 53.2% | 22508/~42342 | ✓25278 | ✗  226] ✓ tests/hermes_cli/test_taskkill_identity_windows_live.py (9s, 1.3s)
[ 53.2% | 22510/~42342 | ✓25280 | ✗  226] ✓ tests/hermes_cli/test_teams_pipeline_plugin_cli.py (2✓, 1.9s)
[ 53.2% | 22520/~42342 | ✓25290 | ✗  226] ✓ tests/hermes_cli/test_telegram_managed_bot.py (10✓, 2.2s)
[ 53.2% | 22522/~42342 | ✓25292 | ✗  226] ✓ tests/hermes_cli/test_systemd_watchdog_unit.py (2✓, 3.4s)
[ 53.2% | 22526/~42342 | ✓25296 | ✗  226] ✓ tests/hermes_cli/test_terminal_io_broken_81521.py (4✓, 2.1s)
[ 53.2% | 22540/~42342 | ✓25310 | ✗  226] ✓ tests/hermes_cli/test_terminal_breadcrumbs.py (14✓, 3.0s)
[ 53.2% | 22542/~42342 | ✓25312 | ✗  226] ✓ tests/hermes_cli/test_terminal_notify.py (2✓, 2.0s)
[ 53.3% | 22564/~42342 | ✓25343 | ✗  226] ✓ tests/hermes_cli/test_tencent_tokenhub_provider.py (31✓, 4.5s)
[ 53.3% | 22569/~42342 | ✓25350 | ✗  226] ✓ tests/hermes_cli/test_terminal_menu_fallbacks.py (7✓, 3.6s)
[ 53.3% | 22571/~42342 | ✓25352 | ✗  226] ✓ tests/hermes_cli/test_timestamps_command.py (2✓, 2.0s)
[ 53.3% | 22577/~42342 | ✓25358 | ✗  226] ✓ tests/hermes_cli/test_tips.py (6✓, 1.7s)
[ 53.3% | 22584/~42342 | ✓25365 | ✗  226] ✓ tests/hermes_cli/test_tiered_review_preservation.py (7✓, 3.2s)
[ 53.3% | 22586/~42342 | ✓25367 | ✗  226] ✓ tests/hermes_cli/test_timeouts.py (2✓, 4.6s)
[ 53.4% | 22590/~42342 | ✓25371 | ✗  226] ✓ tests/hermes_cli/test_startup_fast_guards.py (4✓, 16.4s)
[ 53.4% | 22593/~42342 | ✓25373 | ✗  226] ✓ tests/hermes_cli/test_tool_token_estimation.py (2✓ 1s, 3.2s)
[ 53.4% | 22595/~42342 | ✓25375 | ✗  226] ✓ tests/hermes_cli/test_status_model_provider.py (2✓, 15.0s)
[ 53.4% | 22600/~42342 | ✓25382 | ✗  226] ✓ tests/hermes_cli/test_tools_disable_enable.py (7✓, 2.6s)
[ 53.4% | 22612/~42342 | ✓25394 | ✗  226] ✓ tests/hermes_cli/test_toolset_validation.py (12✓, 2.1s)
[ 53.4% | 22616/~42342 | ✓25399 | ✗  226] ✓ tests/hermes_cli/test_top_level_value_flags_parity.py (5✓, 1.9s)
[ 53.4% | 22617/~42342 | ✓25400 | ✗  226] ✓ tests/hermes_cli/test_tui_bundled.py (1✓, 1.7s)
[ 53.4% | 22621/~42342 | ✓25404 | ✗  226] ✓ tests/hermes_cli/test_tui_heap_sizing.py (4✓, 1.9s)
[ 53.4% | 22623/~42342 | ✓25406 | ✗  226] ✓ tests/hermes_cli/test_tui_mouse_residue_suppression.py (2✓, 1.8s)
[ 53.4% | 22625/~42342 | ✓25408 | ✗  226] ✓ tests/hermes_cli/test_tui_launcher_skips_plugin_discovery.py (2✓, 2.0s)
[ 53.4% | 22629/~42342 | ✓25412 | ✗  226] ✓ tests/hermes_cli/test_tts_picker.py (4✓, 3.1s)
[ 53.6% | 22683/~42342 | ✓25462 | ✗  226] ✓ tests/hermes_cli/test_tools_config.py (50✓ 6s, 6.2s)
[ 53.6% | 22685/~42342 | ✓25464 | ✗  226] ✓ tests/hermes_cli/test_uninstall_dry_run.py (2✓, 1.8s)
[ 53.6% | 22687/~42342 | ✓25466 | ✗  226] ✓ tests/hermes_cli/test_uninstall_node_symlinks.py (2✓, 1.8s)
[ 53.7% | 22717/~42342 | ✓25496 | ✗  226] ✓ tests/hermes_cli/test_tui_npm_install.py (30✓, 2.5s)
[ 53.7% | 22734/~42342 | ✓25513 | ✗  226] ✓ tests/hermes_cli/test_unified_pool_quirk.py (17✓, 2.3s)
[ 53.7% | 22740/~42342 | ✓25519 | ✗  226] ✓ tests/hermes_cli/test_tui_resume_flow.py (6✓, 2.7s)
